Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Customer Ref,Qty1,Qty2,Qty3,Part References
C0805C102K5RACTU,Kemet,DK,399-1147-1-ND,CAP 1000PF 50V CERAMIC X7R 0805,REF66,2,10,50,C40/C62
12065C103KAT2A,AVX Corporation,DK,478-1542-1-ND,CAP CERM .01UF 10% 50V X7R 1206,REF4,1,5,25,C80
C0805C103K5RACTU,Kemet,DK,399-1158-1-ND,CAP 10000PF 50V CERAMIC X7R 0805,REF67,1,5,25,C5
C0805F104K5RACTU,Kemet,DK,399-5110-1-ND,CAP CER .1UF 50V X7R 0805 FO,REF70,18,90,450,C2/C8/C9/C10/C19/C20/C30/C31/C43/C57/C63/C69/C71/C72/C73/C75/C76/C77
C1206C104K5RACTU,Kemet,DK,399-1249-1-ND,CAP .10UF 50V CERAMIC X7R 1206,REF68,3,15,75,C23/C24/C25
DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,REF15,0,0,0,C78(DNP)
T491A104K035AT,Kemet,DK,399-3676-1-ND,CAPACITOR TANT .10UF 35V 10% SMD,REF23,1,5,25,C55
PM1210-R10J,JW Miller A Bourns Company,DK,M6093CT-ND,INDUCTOR .10UH 5% 1210 SMD,REF21,1,5,25,L2
C0805C473K5RACTU,Kemet,DK,399-1166-1-ND,CAP 47000PF 50V CERAMIC X7R 0805,REF69,2,10,50,C35/C38
C0805F474K3RACTU,Kemet,DK,399-5112-1-ND,CAP CER .47UF 25V X7R 0805 FO,REF75,3,15,75,C11/C12/C13
C0805C682K5RACTU,Kemet,DK,399-1157-1-ND,CAP 6800PF 50V CERAMIC X7R 0805,REF80,1,5,25,C41
RC0805JR-070RL,Yageo,DK,311-0.0ARCT-ND,RES 0.0 OHM 1/8W 5% 0805 SMD,REF93,2,10,50,R80/R81
ERJ-6ENF1001V,Panasonic - ECG,DK,P1.00KCCT-ND,RES 1.00K OHM 1/8W 1% 0805 SMD,REF46,2,10,50,R82/R83
ERJ-6ENF1004V,Panasonic - ECG,DK,P1.00MCCT-ND,RES 1.00M OHM 1/8W 1% 0805 SMD,REF47,4,20,100,R16/R46/R55/R62
C0805C105Z3VACTU,Kemet,DK,399-1293-1-ND,CAP 1.0UF 25V CERAMIC Y5V 0805,REF74,14,70,350,C1/C22/C39/C44/C45/C47/C50/C52/C58/C59/C61/C64/C65/C66
T491A105K016AT,Kemet,DK,399-3678-1-ND,CAPACITOR TANT 1.0UF 16V 10% SMD,REF24,1,5,25,C67
T491A225K010AT,Kemet,DK,399-3690-1-ND,CAPACITOR TANT 2.2UF 10V 10% SMD,REF25,1,5,25,C56
ECS-35-18-10X,ECS Inc,DK,XC1371-ND,CRYSTAL 3.579545 MHZ 18PF CYL,REF18,1,5,25,Y2
ECS-40.3-20-5PX-TR,ECS Inc,DK,XC1258CT-ND,CRYSTAL 4.032MHZ 20PF SMD,REF17,1,5,25,Y3
ERJ-6ENF4751V,Panasonic - ECG,DK,P4.75KCCT-ND,RES 4.75K OHM 1/8W 1% 0805 SMD,REF56,7,35,175,R8/R9/R15/R17/R19/R30/R33
BZT52C5V1-7-F,Diodes Inc,DK,BZT52C5V1-FDITR-ND,DIODE ZENER 5.1V 500MW SOD-123,REF11,1,5,25,D2
ERJ-6ENF5621V,Panasonic - ECG,DK,P5.62KCCT-ND,RES 5.62K OHM 1/8W 1% 0805 SMD,REF60,1,5,25,R36
ERJ-6ENF8251V,Panasonic - ECG,DK,P8.25KCCT-ND,RES 8.25K OHM 1/8W 1% 0805 SMD,REF62,1,5,25,R38
744C083103JPTR,CTS Resistor Products,DK,744C083103JPCT-ND,RES ARRAY 10K OHM 8TERM 4RES SMD,REF9,1,5,25,RN1
ERJ-6ENF1002V,Panasonic - ECG,DK,P10.0KCCT-ND,RES 10.0K OHM 1/8W 1% 0805 SMD,REF48,19,95,475,R5/R10/R11/R18/R25/R28/R39/R40/R43/R50/R54/R56/R57/R58/R65/R67/R69/R70/R79
EVM-EGGA00B14,Panasonic - ECG,DK,EGG14BK-ND,POT 10K OHM 6MM CERAMIC SIDE ADJ,REF43,5,25,125,R26/R27/R63/R71/R75
EVM-L4GA00B14,Panasonic - ECG,DK,L4G14BK-ND,POT 10K OHM 4MM CERAMIC TOP ADJ,REF45,2,10,50,R2/R66
C0805C106K9PACTU,Kemet,DK,399-3138-1-ND,CAP CERAMIC 10UF 6.3V X5R 0805,REF73,2,10,50,C4/C51
T491B106M016AT,Kemet,DK,399-3708-1-ND,CAPACITOR TANT 10UF 16V 20% SMD,REF26,3,15,75,C3/C21/C79
