Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,Qty2,Qty3,
311-1047-1-ND,Yageo,CC0402ZRY5V7BB104,C1/C2,2,10,50,
311-1014-1-ND,Yageo,CC0402JRNP09BN100,C3/C4,2,10,50,
311-1047-1-ND,Yageo,CC0402ZRY5V7BB104,C5,1,5,25,
493-2351-1-ND,Nichicon,F931A106MAA,C6,1,5,25,
311-1047-1-ND,Yageo,CC0402ZRY5V7BB104,C7/C8/C9/C10,4,20,100,
445-3451-1-ND,TDK Corporation,C1608Y5V1C225Z,C11/C12,2,10,50,
493-2351-1-ND,Nichicon,F931A106MAA,C13,1,5,25,
311-1047-1-ND,Yageo,CC0402ZRY5V7BB104,C14/C15,2,10,50,
311-1028-1-ND,Yageo,CC0402KRX7R9BB471,C16,1,5,25,
311-1047-1-ND,Yageo,CC0402ZRY5V7BB104,C17/C18/C19/C20/C21/C22,6,30,150,
445-3449-1-ND,TDK Corporation,C1608Y5V0J475Z,C23,1,5,25,
445-3444-1-ND,TDK Corporation,C1005Y5V1C224Z,C24,1,5,25,
311-1042-1-ND,Yageo,CC0402KRX7R7BB103,C25,1,5,25,
490-3274-1-ND,Murata Electronics,GRM155F51C474ZA01D,C26,1,5,25,
493-2351-1-ND,Nichicon,F931A106MAA,C27,1,5,25,
311-1047-1-ND,Yageo,CC0402ZRY5V7BB104,C28,1,5,25,
MSS1P4-M3/89AGICT-ND,Vishay,MSS1P4-M3/89A,D1,1,5,25,
MF-FSMF050X-2CT-ND,Bourns Inc.,MF-FSMF050X-2,F1,1,5,25,
MF-FSMF020X-2CT-ND,Bourns Inc.,MF-FSMF020X-2,F2,1,5,25,
WM7632CT-ND,Molex Inc,53261-15,J1,1,5,25,
3M9272CT-ND,3M,953230-2000-AR-PR,J3,1,5,25,
455-1806-1-ND,JST,SM06B-SRSS-TB,J4,1,5,25,
WM17141CT-ND,Molex Inc,47346-0001,J5,1,5,25,
952-1395-ND,Harwin Inc,M50-3900542,J6,1,5,25,
RMCF0402ZT0R00CT-ND,Stackpole Electronics Inc,RMCF0402ZT0R00,JP1/JP2,2,10,50,
587-1921-1-ND,Taiyo Yuden,BKP1005HS121-T,L1/L2/L3/L4/L5/L8/L10/L11,8,40,200,
LNJ337W83RACT-ND,Panasonic - SSG,LNJ337W83RA,LED1,1,5,25,
LNJ437W84RACT-ND,Panasonic - SSG,LNJ437W84RA,LED2,1,5,25,
LNJ937W8CRACT-ND,Panasonic - SSG,LNJ937W8CRA,LED3,1,5,25,
NTGS4111PT1G,ON Semiconductor,NTGS4111P,Q1/Q2,2,10,50,
