Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Vendor Qty 1	Vendor Qty 2	Vendor Qty 3	Customer Ref	Price Qty 1	Price Qty 2	Price Qty 3	Vendor Reel Part Num	Vendor Link	Datasheet Link
CC0402ZRY5V7BB104	Yageo	DK	311-1047-1-ND	CAP .10UF 16V CERAMIC Y5V 0402	10	100	500		0.01100	0.00650	0.00376	311-1047-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1047-1-ND	http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf
F931A106MAA	Nichicon	DK	493-2351-1-ND	CAP TANTALUM 10UF 10V 20% SMD	10	100	250		0.34900	0.21000	0.15752	493-2351-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=493-2351-1-ND	http://products.nichicon.co.jp/en/pdf/XJA039/e-f93.pdf
MSS1P4-M3/89A	Vishay	DK	MSS1P4-M3/89AGICT-ND	DIODE SCHOTTKY 1A 40V MICROSMP	10	100	250		0.32600	0.19190	0.13576	MSS1P4-M3/89AGIDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MSS1P4-M3/89AGICT-ND	http://www.vishay.com/docs/89019/mss1p4.pdf
953230-2000-AR-PR	3M	DK	3M9272CT-ND	CONN SOCKET 30POS 2MM VERT SMD	1	100			3.22	2.449				
47346-0001	Molex Inc	DK	WM17141CT-ND	CONN RCPT 5POS MICRO USB R/A	10	50	250		0.79300	0.66120	0.54992	WM17141DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=WM17141DKR-ND	http://www.molex.com/pdm_docs/sd/473460001_sd.pdf
M50-3900542	Harwin Inc	DK	952-1395-ND	CONN HDR 1.27MM R/A AU 10POS	10	50	100		1.24200	1.03500	0.92000		http://search.digikey.com/scripts/DkSearch/dksus.dll?vendor=0&keywords=M50-3900542	http://www.harwin.com/include/downloads/pdfs/2010PAGE95.PDF
L3G4200DH	ST Gyro 3-Axis	ME	511-L3G4200D	Gyroscopes Mems Sensor 3-Axis 2.4 to 3.6 V	10	100	250		13.85	12.41	9.88		http://at.mouser.com/ProductDetail/STMicroelectronics/L3G4200D/?qs=sGAEpiMZZMtlZAfbtrLey%252by4mKX%2fvdEL	http://www.st.com/stonline/products/literature/ds/17116.pdf
HMC5843	HMC5843	DK	342-1071-1-ND	SENSOR MAGNETIC 3 AXIS 20-LCC	1	100	500		20	17	15	342-1071-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=342-1071-1-ND	http://www.sparkfun.com/datasheets/Sensors/Magneto/HMC5843.pdf
BMP0805	Bosch Sensortec	DK	828-1005-1-ND	DIGITAL BAROMETRIC PRESSURE SNSR	10	100	250		8.79000	7.32500	5.56700	828-1005-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=828-1005-1-ND	http://www.bosch-sensortec.com/content/language1/downloads/BST-BMP085-DS000-05.pdf
LIS331DLH	STMicroelectronics	DK	497-10397-1-ND	ACCELEROMETER MEMS 3AXIS 16-LGA	10	100	250		8.31600	6.93000	6.23700	497-10397-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=497-10397-1-ND	http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00213470.pdf
24FC128-I/MS	Microchip	DK	24FC128-I/MS-ND	IC EEPROM 128KBIT 1MHZ 8MSOP	10	25	100		0.84000	0.60000	0.58000		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=24FC128-I/MS-ND	http://ww1.microchip.com/downloads/en/DeviceDoc/21191s.pdf
7M-16.000MEEQ-T	7M	DK	887-1319-1-ND	CRYSTAL 16.000 MHZ 10PF SMD	10	50	100		1.46300	1.28260	1.01250	887-1319-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=887-1319-1-ND	http://www.txccrystal.com/images/pdf/7m-accuracy.pdf
MIC5207-3.3YM5	Micrel Inc	DK	576-1267-1-ND	IC REG LDO 180MA 3.3V SOT23-5	1	100	250		1.02000	0.85000	0.51000	576-1267-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=576-1267-1-ND	http://www.micrel.com/_PDF/mic5207.pdf
STM32F205	STMicroelectronics	DK	XXXXXXXX		10				13.000					
LD1117AS33	STMicroelectronics	DK	497-1228-1-ND	IC REG LDO 3.3V 1.2A SOT-223	10	100	250		0.84000	0.66300	0.57460	497-1228-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=497-1228-1-ND	http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00002116.pdf
EVQP7J01K	Panasonic - ECG	DK	P12278SCT-ND	SWITCH LT 3.5MMX2.9MM 160GF SMD	10	100	500		0.73400	0.61630	0.52826	P12278SDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P12278SCT-ND	http://industrial.panasonic.com/www-data/pdf/ATK0000/ATK0000CE20.pdf
SN74LVC2T45	Texas Instruments	DK	296-17014-1-ND	Translator, Bidirectional, 3-State, 2bits	1	25	100		0.79000	0.61200	0.54000	296-17014-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-17014-1-ND	http://focus.ti.com/lit/ds/symlink/sn74lvc2t45.pdf
BKP1005HS121-T	Taiyo Yuden	DK	587-1921-1-ND	FERRITE BEAD 120 OHM 0402	10	100	500		0.20000	0.08000	0.04100	587-1921-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=587-1921-1-ND	http://www.yuden.co.jp/us/product/pdf/ebkp_e.pdf
BM06B-SRSS-TB	JST	DK	455-1792-1-ND	CONN HEADER SH 6POS TOP 1MM TIN	10	100	500		0.66000	0.55040	0.44030	455-1792-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=455-1792-1-ND	http://www.jst-mfg.com/product/pdf/eng/eSH.pdf
GRM155F51C474ZA01D	Murata Electronics	DK	490-3274-1-ND	CAP CER .47UF 16V Y5V 0402	10	100	500		0.04400	0.02600	0.01500	490-3274-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=490-3274-1-ND	http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155F51C474ZA01.pdf
