Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Qty 1,Qty 2,Qty 3,Customer Ref,Price Qty 1,Price Qty 2,Price Qty 3,Vendor Reel Part Num,Vendor Link,Datasheet Link,Qty1,Qty2,Qty3,Part References
CC0402ZRY5V7BB104,Yageo,DK,311-1047-1-ND,CAP .10UF 16V CERAMIC Y5V 0402,10,100,500,*,0.01100,0.00650,0.00376,311-1047-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1047-1-ND,http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf,2,2,2,C1/C2
*** ERROR - PART 'CC0402JRNP09BN100' NOT FOUND FOR: C3/C4
CC0402ZRY5V7BB104,Yageo,DK,311-1047-1-ND,CAP .10UF 16V CERAMIC Y5V 0402,10,100,500,*,0.01100,0.00650,0.00376,311-1047-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1047-1-ND,http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf,1,1,1,C5
F931A106MAA,Nichicon,DK,493-2351-1-ND,CAP TANTALUM 10UF 10V 20% SMD,10,100,250,*,0.34900,0.21000,0.15752,493-2351-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=493-2351-1-ND,http://products.nichicon.co.jp/en/pdf/XJA039/e-f93.pdf,1,1,1,C6
CC0402ZRY5V7BB104,Yageo,DK,311-1047-1-ND,CAP .10UF 16V CERAMIC Y5V 0402,10,100,500,*,0.01100,0.00650,0.00376,311-1047-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1047-1-ND,http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf,4,4,4,C7/C8/C9/C10
C1608Y5V1C225Z,TDK Corporation,DK,445-3451-1-ND,CAP CER 2.2UF 16V Y5V 0603,10,100,500,*,0.08800,0.05200,0.03000,445-3451-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=445-3451-1-ND,http://www.tdk.com/pdf/general_A11.pdf,2,2,2,C11/C12
F931A106MAA,Nichicon,DK,493-2351-1-ND,CAP TANTALUM 10UF 10V 20% SMD,10,100,250,*,0.34900,0.21000,0.15752,493-2351-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=493-2351-1-ND,http://products.nichicon.co.jp/en/pdf/XJA039/e-f93.pdf,1,1,1,C13
CC0402ZRY5V7BB104,Yageo,DK,311-1047-1-ND,CAP .10UF 16V CERAMIC Y5V 0402,10,100,500,*,0.01100,0.00650,0.00376,311-1047-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1047-1-ND,http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf,2,2,2,C14/C15
CC0402KRX7R9BB471,Yageo,DK,311-1028-1-ND,CAP 470PF 50V CERAMIC X7R 0402,10,100,500,*,0.01100,0.00670,0.00386,311-1028-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1028-1-ND,http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf,1,1,1,C16
CC0402ZRY5V7BB104,Yageo,DK,311-1047-1-ND,CAP .10UF 16V CERAMIC Y5V 0402,10,100,500,*,0.01100,0.00650,0.00376,311-1047-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1047-1-ND,http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf,6,6,6,C17/C18/C19/C20/C21/C22
