Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,Qty2,Qty3,
311-1047-1-ND,Yageo,CC0402ZRY5V7BB104,C1/C2,2,10,50,
445-3451-1-ND,TDK Corporation,C1608Y5V1C225Z,C3,1,5,25,
311-1047-1-ND,Yageo,CC0402ZRY5V7BB104,C4,1,5,25,
399-5175-1-ND,Kemet,T491X107K025ZT,C7,1,5,25,
311-1047-1-ND,Yageo,CC0402ZRY5V7BB104,C8/C9/C10,3,15,75,
399-3696-1-ND,Kemet,T491A475K010AT,C11,1,5,25,
MSS1P4-M3/89AGICT-ND,Vishay,MSS1P4-M3/89A,D1,1,5,25,
3M9272CT-ND,3M,953230-2000-AR-PR,J1,1,5,25,
WM1731-ND,Molex Inc,53047-02,J2,1,5,25,
WM1731-ND,Molex Inc,53047-02,J3,1,5,25,
WM1731-ND,Molex Inc,53047-02,J4,1,5,25,
WM1733-ND,Molex Inc,53047-04,J5,1,5,25,
WM1731-ND,Molex Inc,53047-02,J7,1,5,25,
WM1733-ND,Molex Inc,53047-04,J8,1,5,25,
WM1732-ND,Molex Inc,53047-03,J9,1,5,25,
WM1733-ND,Molex Inc,53047-04,J11,1,5,25,
952-1395-ND,Harwin Inc,M50-3900542,J12,1,5,25,
455-1694-1-ND,JST,S3B-ZR-SM4A-TF,J13,1,5,25,
WM1732-ND,Molex Inc,53047-03,J14/J100/J200,3,15,75,
587-1921-1-ND,Taiyo Yuden,BKP1005HS121-T,L1,1,5,25,
587-1921-1-ND,Taiyo Yuden,BKP1005HS121-T,L2/L3/L4/L5/L6/L7/L8/L9/L10/L11,10,50,250,
311-39.2KLRCT-ND,Yageo,RC0402FR-0739K2L,R1,1,5,25,
RMCF0402FT10K0CT-ND,Stackpole Electronics Inc,RMCF0402FT10K0,R2,1,5,25,
TC164J-100CT-ND,Yageo,TC164-JR-07100RL,RN1,1,5,25,
TLP3123F-ND,Toshiba,TLP3123(F),SSR1/SSR2,2,10,50,
568-4843-1-ND,NXP Semiconductors,74LVC2GU04GW,125,U$2,1,5,25,
AP2151WGDICT-ND,Diodes Inc,AP2151WG-7,U1,1,5,25,
296-23279-1-ND,Texas Instruments,SN74LVC8T245DBQR,U2,1,5,25,
AP2151WGDICT-ND,Diodes Inc,AP2151WG-7,U3/U4,2,10,50,
296-20432-ND,Texas Instruments,PTH08080WAH,U7,1,5,25,
497-10500-ND,STMicroelectronics,STM32F100C6T6B,U8,1,5,25,
497-1228-1-ND,STMicroelectronics,LD1117AS33,U9,1,5,25,
WM1734-ND,Molex Inc,53047-05,X1,1,5,25,
535-9721-1-ND,Abracon Corporation,ABM3B-8.000MHZ-10-1-U-T,X4,1,5,25,
